iter	AUC	Logloss
487	0.8160541058	0.5263346313
488	0.8160951734	0.5262810349
489	0.8161690831	0.5261834284
490	0.8162123561	0.5261252878
491	0.8162460327	0.5260785388
492	0.8163042068	0.5260129906
493	0.8163487911	0.5259351171
494	0.8163936734	0.5258799645
495	0.816452086	0.5258212014
496	0.8164952993	0.5257768801
497	0.8165667057	0.5257090909
498	0.8166308999	0.5256251793
499	0.8166754842	0.5255684704
500	0.8167342246	0.5255048519
501	0.8167770505	0.5254651371
502	0.8168074489	0.5254106692
503	0.8168858886	0.5253337917
504	0.8169264793	0.5252911511
505	0.8169768453	0.525234131
506	0.8170220852	0.5251754924
507	0.817073226	0.5251283699
508	0.8171318173	0.5250725325
509	0.8172014356	0.5249988297
510	0.8172457814	0.5249428056
511	0.8172815442	0.5249062032
512	0.8173444271	0.5248336831
513	0.8173837662	0.5247906068
514	0.8174390197	0.5247183979
515	0.8174837232	0.5246549662
516	0.8175269365	0.5246000003
517	0.8175798059	0.5245352613
518	0.8176298738	0.5244821629
519	0.8176910281	0.5244120083
520	0.8177284002	0.5243738496
521	0.8177679777	0.5243099822
522	0.8178307414	0.5242502853
523	0.8178947568	0.5241848616
524	0.8179430962	0.5241074239
525	0.8179914355	0.5240446146
526	0.8180638552	0.5239668656
527	0.8181124032	0.5239073555
528	0.818170011	0.5238556266
529	0.8182164431	0.5238070101
530	0.8182518482	0.5237650543
531	0.8182797432	0.5237316888
532	0.8183291554	0.5236792752
533	0.818395555	0.5236088715
534	0.8184357285	0.5235589478
535	0.8184899092	0.52350199
536	0.8185383081	0.5234066867
537	0.8185790777	0.523356763
538	0.8186314106	0.5233068393
539	0.8186704516	0.5232608373
540	0.818721652	0.5231995843
541	0.8187805414	0.5231331023
542	0.8188402355	0.5230698573
543	0.8188847899	0.5230254738
544	0.8189520836	0.5229640963
545	0.8189980984	0.5229152308
546	0.819050312	0.5228564677
547	0.8191093802	0.5227978292
548	0.8191680312	0.522742552
549	0.8192152977	0.522694309
550	0.8192546964	0.5226488673
551	0.8193096519	0.5225777166
552	0.8193648756	0.5225256765
553	0.8194134235	0.5224743833
554	0.8194698095	0.5224191684
555	0.8195655346	0.5223269154
556	0.8196078837	0.5222779254
557	0.8196431994	0.5222209053
558	0.8197134435	0.5221566643
559	0.8197650909	0.5221064294
560	0.819811821	0.5220557587
561	0.8198842108	0.5219930117
562	0.8199444413	0.5219290197
563	0.8199846745	0.5218879665
564	0.8200455904	0.5218190257
565	0.8200953901	0.5217743309
566	0.8201181591	0.5217334644
567	0.8201594055	0.52168435
568	0.8202033043	0.5216324965
569	0.8202984333	0.5215369443
570	0.8203571439	0.5214857445
571	0.8203984499	0.52144189
572	0.8204356432	0.5213929312
573	0.820483923	0.5213314292
574	0.8205208182	0.5212818167
575	0.8205711842	0.5212038498
576	0.8206215501	0.5211294
577	0.8206629157	0.5210600857
578	0.8207058907	0.5210189391
579	0.8207566142	0.5209714431
580	0.8207979202	0.5209324753
581	0.8208500147	0.5208661801
582	0.820903182	0.5207867814
583	0.8209360838	0.5207522332
584	0.8209896088	0.5206965826
585	0.8210453093	0.5206409009
586	0.8211200237	0.5205646147
587	0.8211719394	0.5205117031
588	0.8212299943	0.5204335183
589	0.82127285	0.5203780233
590	0.8213270307	0.5203257653
591	0.821384728	0.5202475183
592	0.8214318156	0.5201935484
593	0.8214792013	0.5201344118
594	0.8215515614	0.5200663425
595	0.8215953708	0.5200239198
596	0.8216391802	0.5199751788
597	0.8217023611	0.5199145794
598	0.8217454553	0.5198598625
599	0.8218046427	0.5197964308
